sentence,implied_statement
she's another jew promoting adl / splc . she assisted in having jihad watch,Jews want to wipe out the white race.
the genocide of white america : 1980-2010 via,White people are dying out.
the genocide of white america : 1980-2010 via,Minorities are destroying the white race
whites are not allowed to work for their group interests .,non-white people are coddled
whites are not allowed to work for their group interests .,White people are restricted by other groups.
#howtospotafeminist their favorite colour isn't white .,Feminists hate white people.
#howtospotafeminist their favorite colour isn't white .,feminists are racist
inb 4 its ok to be white as long as youre also fine with anti white policies that displace whites,non-white people want to replace white people
inb 4 its ok to be white as long as youre also fine with anti white policies that displace whites,Progressive whites are racist to their own race.
he's vocally anti-white  he's not white  he advocates miscegenation and he's so much as admitted to raping women,Non-white people are rapists.
he's vocally anti-white  he's not white  he advocates miscegenation and he's so much as admitted to raping women,non-white people dilute the gene pool
#gop can explicitly be the party of white christian america or it will die . it would rather die . #tcot,non-white people are a threat
#gop can explicitly be the party of white christian america or it will die . it would rather die . #tcot,Minorities are out to get whites.
i wish i could understand what makes some white people embrace their own extinction . are they sleepwalking ?,White people aren't paying attention.
i wish i could understand what makes some white people embrace their own extinction . are they sleepwalking ?,Whites are self-destructive.
no state has the right to redefine #marriage or allow labs to manufacture offspring of same-sex couple . tell congress to enact #nmra,Gays are abnormal
poor snowflake white man . :(,White people are snowflakes.
poor snowflake white man . :(,White men are sensitive
why do hate crime laws only apply to white people ?,Minorities have double standards
why do hate crime laws only apply to white people ?,White people are unfairly discriminated against by the law
it's us white gentiles getting screwed ! :,White people are disadvantaged.
it's us white gentiles getting screwed ! :,non-white people oppressing whites
just another jewish think-tank with a paradoxical name . has nothing to do with heritage at all .,Jews are devious
so you believe it is wrong for a white man to defend his own race ? do you believe that it i,non-white people are a threat
so you believe it is wrong for a white man to defend his own race ? do you believe that it i,Minorities attack whites.
racist attacks on white dutch people by mobs of muslim immigrants continue ( video ) kyttjlt,Muslim immigrants assault whites
racist attacks on white dutch people by mobs of muslim immigrants continue ( video ) kyttjlt,Muslims are attacking white people.
what's happening in south africa is awful and not one news station covers it,media biased against South Africans
: white people need to watch their backs . there is a war upon us .,Minorities are wiping out the white race
: white people need to watch their backs . there is a war upon us .,White people are in danger.
white skin is dominant phenotypically  last i heard . it's only socially that if you're not full-white you're considered tainted .,Minorities are less than whites
using the enemy's anti-white hate propaganda . #wpww,non-white people are oppressors
yup . race is real & we're not concerned with your race or other races . we are concerned with white growth & population .,People of color are inferior to white people
yup . race is real & we're not concerned with your race or other races . we are concerned with white growth & population .,non-white people want to replace white people
the black community in america is resting on the pillars of state welfare and affirmative action produced white guilt .,Black people are lazy
the black community in america is resting on the pillars of state welfare and affirmative action produced white guilt .,Black people depend on welfare.
the people leaving usa becuz racist trump all want canada  new zealand  never mexico  nigeria . who racist ?,Whites are racists
i take pro-white perspective . thats where the battle lines are now drawn . you guys wanna re,Minorities are second class races.
why do liberals ignore the black elephant in the room ? the ability of black people to own firearms and gun violence in inner cities #nra,Blacks are violent and dangerous
why do liberals ignore the black elephant in the room ? the ability of black people to own firearms and gun violence in inner cities #nra,Liberals are blind to facts.
i wonder if every white person investigated today including potus is because he is white . in today's world being white is crime unto itself,White people should be investigated.
i wonder if every white person investigated today including potus is because he is white . in today's world being white is crime unto itself,Minorities oppress whites
the white race we must talk for its beginning about 4 millions and 900000 years ago as the first race . so the red and then the black,Minorities are third class races.
the white race we must talk for its beginning about 4 millions and 900000 years ago as the first race . so the red and then the black,White people were the original race.
hushed up german police report shows massive increase in migrants sexually assaulting children in pools #hangmerkel,Migrants are rapists.
hushed up german police report shows massive increase in migrants sexually assaulting children in pools #hangmerkel,Immigrants commit juvenile rapes
no repentance for f-ing j * * * tweet ! finally ended gops endless paeans to israel . coulter gets results ! ! !,Israelis get special treatment from GOP.
no repentance for f-ing j * * * tweet ! finally ended gops endless paeans to israel . coulter gets results ! ! !,Jews are inferior.
weev dared to tweet about the survival of god forbid white children . he immediately gets called a white supremacist .,White people can't say what they are thinking.
weev dared to tweet about the survival of god forbid white children . he immediately gets called a white supremacist .,Minorities blame whites unfairly.
racist old white guys are the only thing standing between you and extinction . #learntoloveus,Old white men are racist.
racist old white guys are the only thing standing between you and extinction . #learntoloveus,Minorities are wiping out whites
i really only care about preserving white countries .,White people should survive.
i really only care about preserving white countries .,Minorities are subpar races
the people hate the gop . don't worry  charlottesville was just the beginning . we're growing extremely fast .,Minorities are inferior to whites
white presidents only .,Only white people should be president.
white presidents only .,non-white people are inferior
if you want to get better join the aryan race,non-white people are inferior
if you want to get better join the aryan race,Minorities are subpar human beings
you're a white man  frank . you're automatically a fascist to these people . perhap,Minorities are prejudiced
you're a white man  frank . you're automatically a fascist to these people . perhap,White people are fascists.
justine damond  this immigrant running around an alley at night  barely dressed  charging our cops  banging their car . claims she heard a noise in the alley . really ? so she went out at night to see ? #bluelivesmatter hooker arguing w / her john . noor kept us safe . #philandocastile,Immigrants are criminals
justine damond  this immigrant running around an alley at night  barely dressed  charging our cops  banging their car . claims she heard a noise in the alley . really ? so she went out at night to see ? #bluelivesmatter hooker arguing w / her john . noor kept us safe . #philandocastile,Immigrants are violent law breakers
but thats deceptive bcuz not all pigmentated people fail . is it african ethnic groups ? is it a tribal mentality ?,Black people are unsophisticated
but thats deceptive bcuz not all pigmentated people fail . is it african ethnic groups ? is it a tribal mentality ?,Minorities are incompetent
white devil books,White people are evil.
white devil books,Whites are evil.
yes  unless you're not white and you're trying to silence all [ white ] opposition .,Minorities oppress whites
you only think you're a winner because of olive-skinned people . get a life  loser,Middle-Easterners are substandard people
though all white men & women r not jews all jews  white men & women  i'm white man & jew.ur not even a man or woman !,Jewish people consider themselves better than white people despite being white
they also founded america as a white country  and would stand with th,Minorities are second class citizens.
they also founded america as a white country  and would stand with th,America is a white country.
the genocide in south africa where whites are being brutally massacred by blacks is race war . the blacks there are power hungry ...,Blacks are brutal and savage killers.
the genocide in south africa where whites are being brutally massacred by blacks is race war . the blacks there are power hungry ...,Blacks in South Africa kill whites.
white lives are important !,White people are important.
white lives are important !,White people's lives aren't valued
hungarian politicians protesting against invasion ! hungary is the only normal country in europe + visegrad group,Immigrants want to take over
the most disgusting of anti-whites do thatuse extreme racism against whites against them because it increases the reaction by 5 % or similar,Non-whites don't like white people.
the most disgusting of anti-whites do thatuse extreme racism against whites against them because it increases the reaction by 5 % or similar,Minorities are racist
our cities were actually livable when they were run by those ebil racist white soopremacists,White people are racist.
our cities were actually livable when they were run by those ebil racist white soopremacists,Minorities are incapable of leadership
he told the world : the immortal words of adolf hitler ( video ) via,Minorities are inferior races
philip girladi interview  jewish americans pushing wars via,Jewish people are violent and trying to take over the world
philip girladi interview  jewish americans pushing wars via,jews are warmongers
oh yeah while some alt-right cuck says ' staahpp  we supp,Conservative males are impotent and weak
milo boasts about getting railed for 18 hours by his black boyfriend . he bathes in blood . that's terrible optics in the south,Black people are bad.
milo boasts about getting railed for 18 hours by his black boyfriend . he bathes in blood . that's terrible optics in the south,Blacks are heathens
the california gop convention is under siege by protesters with mexican flags,Latinos in the US are not patriotic
bill warner  phd : moderate muslims cannot save us #foxnews #cnn #abcnews #kafir,Muslims are radicals
bill warner  phd : moderate muslims cannot save us #foxnews #cnn #abcnews #kafir,Muslims are powerless.
whites who're true to themselves and their people .,White people understand white people.
whites who're true to themselves and their people .,Minorities are inferior to whites
very happy to hear this ; gives heart to all nationalists who oppose #whitegenocide,Minorities are in favor of killing whites.
very happy to hear this ; gives heart to all nationalists who oppose #whitegenocide,Nationalists are white.
think for yourself for a change . i bet you think blm and antifa are peaceful .,BLM is full of hate.
think for yourself for a change . i bet you think blm and antifa are peaceful .,Leftists are brutal and barbarous
white antifas are going to have to live by there creed . they need to enjoy multicultural america .,Enjoy a multicultural America.
white antifas are going to have to live by there creed . they need to enjoy multicultural america .,White people are two faced and don't really want more people of color in America
you're like prewhites  not quite white .,People of color are inferior because they are not white
whites need to gtfo of africa while they still can,White people need to leave Africa.
whites need to gtfo of africa while they still can,Black people are dangerous
white nationalism has no place in this country . it never will .,Whites are separatists
white nationalism has no place in this country . it never will .,whites feel superior
lincoln should of let the south go now we have a ridicuolously divided country,whites are racists
lincoln should of let the south go now we have a ridicuolously divided country,Southerners promote division.
how do you explain the thousands of incidents of white on white domestic violence per year ? interracial dating ?,White people don't like other white people.
how do you explain the thousands of incidents of white on white domestic violence per year ? interracial dating ?,Whites are violent
propaganda photo to make white people appear humiliated . sorry  not applicable here .,White people shouldn't be sorry.
propaganda photo to make white people appear humiliated . sorry  not applicable here .,Minorities want to disgrace whites.
white genocide,Minorities are looking to wipe out white culture.
- poland is looking to protect its people.muslims bring with them the baggage of islam . this poses a potential threat .,Muslims are threatening
- poland is looking to protect its people.muslims bring with them the baggage of islam . this poses a potential threat .,Muslims are threatening.
girl bright and early this morning the crazy racist white folks are acting up,White people are racist.
girl bright and early this morning the crazy racist white folks are acting up,White people are racists
#sodomybasedmarriage & racist israel has more public support than white people advocating for basic human rights .,Jews are given special privilege
#sodomybasedmarriage & racist israel has more public support than white people advocating for basic human rights .,Israelis are racist.
nope  but ' racist ' is the new n word for white people .,White people are racists
nope  but ' racist ' is the new n word for white people .,Minorities are prejudiced towards whites.
what she really means is your white  allah will judge you  and non-believers have no morality . ;) :,Non-believers aren't moral.
what she really means is your white  allah will judge you  and non-believers have no morality . ;) :,Non-Muslims are immoral
: sen rejects o .. claim that legalizing illegal immigrants will help economy #illegalimmigration,Illegals don't contribute to society.
: sen rejects o .. claim that legalizing illegal immigrants will help economy #illegalimmigration,Illegal immigrants are good for the economy.
the choice is clear white folks : multiracial democracy or white nationalism ? #donaldtrump is our chance 2 choose . pick and prepare to fight,non-white people are inferior
the choice is clear white folks : multiracial democracy or white nationalism ? #donaldtrump is our chance 2 choose . pick and prepare to fight,White people either are white supremacists or in support of immigrants
black  hispanic  gay  trans  asian  not a white student union  it's why conservatism is useless  they watched as the left destroyed whiteness,Democrats have destroyed white people and their identity
black  hispanic  gay  trans  asian  not a white student union  it's why conservatism is useless  they watched as the left destroyed whiteness,Conservatives are weak and ineffectual.
the white #workingclass is the most oppressed demographic in the #unitedstates - #wakeup #fightback,non-white people are oppressors
the white #workingclass is the most oppressed demographic in the #unitedstates - #wakeup #fightback,White people are oppressed.
the difference between third world countries and america is the people . think about that a minute . #trump2016 #hillary2016,Third world citizens are substandard
thanks for putting this picture up i'm a white male in south africa we are murdered in our houses becuz were white,Minorities kill whites
thanks for putting this picture up i'm a white male in south africa we are murdered in our houses becuz were white,White people in South Africa are dying.
jewish harvard professor noel ignatiev wants to abolish the white race via,Jews want white genocide
jewish harvard professor noel ignatiev wants to abolish the white race via,Jewish people want to kill white people.
america was founded in the principle of white supremacy chrome dome ( and there's nothing wrong with that ),non-white people are less valuable
america was founded in the principle of white supremacy chrome dome ( and there's nothing wrong with that ),White people are superior.
a future for white children ! in the same fashon as hitler youth  who were given the great honor of dying for hitler ! seig heil ! amen !,minorities are inferior
a future for white children ! in the same fashon as hitler youth  who were given the great honor of dying for hitler ! seig heil ! amen !,People of color are inferior to white people
i don't want to move anywhere . i want to keep britain and america white .,white people rightfully own britian and america.
i don't want to move anywhere . i want to keep britain and america white .,White people are good for Britain and America.
former black ou football player pimps his former white ou cheerleader girlfriend for $ 200 via,Black people are pimps
former black ou football player pimps his former white ou cheerleader girlfriend for $ 200 via,Blacks are self-serving.
it goes way deeper than skin . racial iq  k / r selection  evolutionary psychology  etc .,Minorities are inferior
it goes way deeper than skin . racial iq  k / r selection  evolutionary psychology  etc .,non-white people are genetically inferior
milo literally said he lost his virginity when he was 15 in a 5some.poz af .,Homossexuals are perverted
you expect them to tolerate anti-white terrorists ?,anti-white terrorism
come on  hedd ! you know white people arent allowed to identify and associate based on race ! only blacks  asians  jews and mestizos can do that ! we have to help all people ! even if they hate our guts ! its almost as if were called upon to be better than them ...,Minorities hold double standards for whites
come on  hedd ! you know white people arent allowed to identify and associate based on race ! only blacks  asians  jews and mestizos can do that ! we have to help all people ! even if they hate our guts ! its almost as if were called upon to be better than them ...,Minorities are hateful
they need to lead the army in there and arrest anyone with gang tats  clothes  illegal fir,Minorities are violent gang members.
the #us #education system discourages critical thinking skills . hence the ignorant hate that persists against #hitler & national-socialism .,Minorities are subpar races
indonesia : muslim smiles and screams allahu akbar as he gets 10 - year sentence for jihad massacre via,Muslims are violent murderers
indonesia : muslim smiles and screams allahu akbar as he gets 10 - year sentence for jihad massacre via,Muslims want to kill Christians
4 / the government of south africa is about to seize the land of the white minority . they are launching a real white genocide,Blacks are annihilating white culture
4 / the government of south africa is about to seize the land of the white minority . they are launching a real white genocide,White people are the minority.
: nobody will take white identity seriously if you yell muh jew for every issue . we need to talk about how gr,Minorities are inferior.
: nobody will take white identity seriously if you yell muh jew for every issue . we need to talk about how gr,White people complain about Jews.
der spiegel : the mystery of the forest swastikas | full story :,Minorities are subpar races.
: there it is in black and white . are muslims blind that they cannot see this ?,Muslims are stupid.
: there it is in black and white . are muslims blind that they cannot see this ?,Muslims deny the truth
britain sees race war brewing between non-white invaders | read more :,"People of color, immigrants are invading Britain and beginning a race war"
britain sees race war brewing between non-white invaders | read more :,immigrants are violent
it's statues now . eventually it will be calls to ban vanilla ice cream  white bed sheets  and to denounce snow as racist . insanity .,Minorities want to destroy white culture
anti-racist activist raped by non-white illegal immigrant after attending anti-racism festival | read more :,Non-white immigrants are racist.
anti-racist activist raped by non-white illegal immigrant after attending anti-racism festival | read more :,Illegals are dangerous criminals
had delhi not voted for & his party by now he would hv been in jail on charges of getting foreign funds from isi for anarchy,Indians are corrupt thieves.
obama to announce amnesty in las vegas . no better place to gamble away our countrys future . #noamnesty #trueimmigrationreform #vegas,immigrants are a threat to the country.
your wrong and the white guilt agenda you push is what woke me . must suck to not even know your actions are not of your own  but socially engineered . now dance robot,White people are guilty.
your wrong and the white guilt agenda you push is what woke me . must suck to not even know your actions are not of your own  but socially engineered . now dance robot,Minorities push white self-hatred
74 % of terrorist attacks in the us come from you - us nazis and white supremacists / christi,Neo Nazis and white Supremacists are terrorists
74 % of terrorist attacks in the us come from you - us nazis and white supremacists / christi,White people are violent and terrorists
because jews meddle too much  white christians gave 60 + million lives,Jews are always in other people's business.
because jews meddle too much  white christians gave 60 + million lives,Jews are devious
- mosloms call us racist  i am starting to think they should be classified that way  as a race  not a religion .,Muslims are bigots
4396 white murderers  5375 black murderers . all the while blacks are 13 % of the country's population .,Black people kill more than white people.
4396 white murderers  5375 black murderers . all the while blacks are 13 % of the country's population .,Blacks are dangerous killers
jews push 4immigration and white genocide :,Jews advocate for an end to whites.
jews push 4immigration and white genocide :,Jews don't like white people.
your hate for others gives me the strength to join and be proud to be a white male again .,White people should be proud of their races.
your hate for others gives me the strength to join and be proud to be a white male again .,Minorities are subhuman
and the fact that there were more white slaves in the middle east than black slaves in america,Arabs are hypocrites
and the fact that there were more white slaves in the middle east than black slaves in america,White people are used as slaves.
tell us will you be practicing sharia gender segregation ? illegal .,Muslims disrespect women
black people have never formed a civilized society on their own without the help of white people .,Black people are unintelligent
black people have never formed a civilized society on their own without the help of white people .,Black people are incapable and inferior to white people
where's ' jewish council ' aka statement on mb spiritual leader qaradawi edict to ummah :,Jews are cowards
white people seemingly are the only truly altruistic ethnic group . ive seen more white people help complete strangers and animals with zero reciprocity.for a society bent on white genocide they would fall apart without us ..,non-white people are selfish
white people seemingly are the only truly altruistic ethnic group . ive seen more white people help complete strangers and animals with zero reciprocity.for a society bent on white genocide they would fall apart without us ..,White people help others more than other races.
whites kill for white supremacy terroristic ideology . highest body count,White people are terrorists.
whites kill for white supremacy terroristic ideology . highest body count,Whites are terrorists
this is a white identitarian group silly  no parasites here,Minorities are subpar
this is a white identitarian group silly  no parasites here,non-white people are inferior
either tn or kentucky would work . georgia has too much atlanta in it  if'n you know what i mean .,Blacks degrade society
blacks are shot by police in proportion to the number of stops . whites are murdered by blacks dispropor,Blacks murder whites
blacks are shot by police in proportion to the number of stops . whites are murdered by blacks dispropor,Cops kill black people.
this is antifa . zog will take anyone to fight for greater israel,Jews are devious
this is antifa . zog will take anyone to fight for greater israel,Jews and progressives are in bed together
if black dysfunction is an indicator of institutionalized white supremacy  it appears cities get more white supremacist as they get blacker .,Blacks are incapable of leadership
if black dysfunction is an indicator of institutionalized white supremacy  it appears cities get more white supremacist as they get blacker .,White people are better than black people.
#whitepeople are the most hated & oppressed group in the us  yet the majority of whites have done nothing but shrug and change the channel .,Whites are weak and ineffective.
#whitepeople are the most hated & oppressed group in the us  yet the majority of whites have done nothing but shrug and change the channel .,White people are hated by other races.
give me a break sly . whites did build this country . nothing wrong with that . the more we ar,Minorities are ineffectual and unskilled.
elder  you must be a white supremacist ... love your stuff .,Minorities are inferior races.
elder  you must be a white supremacist ... love your stuff .,non-white people are inferior
infiltrator black politician wants anti-white ethnic cleansing in estonia | read more :,Blacks advocate for white slaughter
infiltrator black politician wants anti-white ethnic cleansing in estonia | read more :,blacks want anti-white ethnic cleansing
millions of africans every year leave lands controlled by blacks to live in lands controlled by whites . come on  man,White people control blacks.
millions of africans every year leave lands controlled by blacks to live in lands controlled by whites . come on  man,Blacks can't run a country.
he is also a black racist . dont forget that .,black people are racist.
he is also a black racist . dont forget that .,Non- Blacks are racist
murdering thugs were black he is white so no news or hate crime here . such godless hypocrisy !,Black people are thugs.
murdering thugs were black he is white so no news or hate crime here . such godless hypocrisy !,Black people are thugs
mt . any religion is better than islam . #tcot #bansharia #banislam,Muslims have a bad religion.
mt . any religion is better than islam . #tcot #bansharia #banislam,Islamic people are bad.
fuhrer was a genius ; see his analysis : adolf #hitler explains,Minorities are subhuman
fuhrer was a genius ; see his analysis : adolf #hitler explains,Nazis are intelligent.
just polishing my horns and infiltrating shitlib forums because all the good alt-right o,Liberals are substandard people
since when were the welsh _not_ white ?,Welsh people are not white.
why should we preserve the white race just because of its minority status ?,whites hide behind their social position
why should we preserve the white race just because of its minority status ?,white people deserve to die out
anti-racist activist raped by non-white illegal immigrant after anti-racism festival | read more : via,Illegals are vicious and brutal
anti-racist activist raped by non-white illegal immigrant after anti-racism festival | read more : via,Non-white immigrants are criminals.
four adopted children  not a single one white . what kind of self-loathing and / or white savior complex causes that ?,White people don't like themselves.
four adopted children  not a single one white . what kind of self-loathing and / or white savior complex causes that ?,Minorities promote white guilt.
poor white people = = = > via,white people are poor
poor white people = = = > via,White people are poor.
jews are not white .,Jews are not white people
jews are not white .,Jews are inferior to whites.
#istandfordiversity because the white race already has all the diversity it needs . we don't need mass immigration . join ! !,Immigrants are inferior.
#istandfordiversity because the white race already has all the diversity it needs . we don't need mass immigration . join ! !,Immigrants are hurting white people.
all immigration of non whites should be ended . this melting pot historical period isn't relevant for these times .,Non-white immigrants should stay in their country.
all immigration of non whites should be ended . this melting pot historical period isn't relevant for these times .,Immigrants are lower class people
they fear the white . they know what we can do .,White people are dangerous.
they fear the white . they know what we can do .,Minorities are terrified of whites
jews run banking  media  academia  and govt ; you're the dummies .,Jews control the world
jews run banking  media  academia  and govt ; you're the dummies .,Jews know about money.
see shucking and jiving for the white man is paying off,Black people work for the white man.
see shucking and jiving for the white man is paying off,Minorities are weak.
build the wall . #maga,Immigrants shouldn't come into America.
build the wall . #maga,Immigrants take from society
hillary * white lion awakeningwhite might !,non-white people are enemies
#nohateappstate - ( ( ( who ) ) ) told him white people are evil ? - black guy talks about racism,White people are evil.
#nohateappstate - ( ( ( who ) ) ) told him white people are evil ? - black guy talks about racism,Jews are devious
i dont need a group to tell me that whites should be revered or preserved or protected or special ... im not afraid of being replaced,White people are special.
i dont need a group to tell me that whites should be revered or preserved or protected or special ... im not afraid of being replaced,Minorities are wiping out whites
white pride worldwide hooded sweatshirt very via,White people are superior.
white pride worldwide hooded sweatshirt very via,Minorities are subpar.
because white people don't need diversity . it is only a weakness to us .,White people don't like diversity.
because white people don't need diversity . it is only a weakness to us .,Minorities are feeble and weak
taught from preschool . taught white boys are racist and brown is ok .,Blacks mislabel whites
taught from preschool . taught white boys are racist and brown is ok .,White boys are racist.
i already answered this . why are you denying racial iq and evolutionary psychology / biology ?,Black people have low IQ
yes we don't to be invaded my wife is white blonde and 2 mexican girl are trying to get her fired by saying she called them racist to hr,Mexicans are liars
yes we don't to be invaded my wife is white blonde and 2 mexican girl are trying to get her fired by saying she called them racist to hr,Mexicans think all white people are racist.
what about the white illegal immigrants ?,Whites are illegals also
what about the white illegal immigrants ?,White immigrants come to the country legally.
rape  beatings  murders aren't just for black men and women by white men . they beat white women too . and  white women hate you,white women hate blacks
rape  beatings  murders aren't just for black men and women by white men . they beat white women too . and  white women hate you,White men are violent thugs.
